Comunidad autónoma,2022,2021
01 Andalucía,4834.91,4924.70
02 Aragón,4933.23,5139.82
"03 Asturias, Principado de",5182.18,4769.24
"04 Balears, Illes",5370.69,5140.70
05 Canarias,4972.79,5148.53
06 Cantabria,4908.11,4795.68
07 Castilla y León,4903.25,4985.23
08 Castilla - La Mancha,4966.92,4685.26
09 Cataluña,4950.02,5160.05
10 Comunitat Valenciana,4978.67,5219.48
11 Extremadura,5109.37,4747.74
12 Galicia,5003.02,5042.28
"13 Madrid, Comunidad de",5206.19,5220.33
"14 Murcia, Región de",4900.80,4998.23
"15 Navarra, Comunidad Foral de",4701.68,4994.58
16 País Vasco,4981.75,4973.70
"17 Rioja, La",5035.10,4641.79
18 Ceuta,4283.85,6237.26
19 Melilla,4360.43,4336.23
